Table:CsvBattle,,,,,,,,,,,,,,,,,,,,
tid,name:s,diff_num,physic_power,times_limit,map1:s,map2:s,map3:s,item_award_show:a,boss_face_tid,body_dire,desc:s,hero_exp1,hero_exp2,hero_exp3,drop_group1,drop_group2,drop_group3,prob_group1,prob_group2,prob_group3
#,名字,有几个难度,体力消耗,次数限制,战斗1地图,战斗2地图,战斗3地图,物品奖励（显示用）,显示BOSS头像,指挥官站位方向,副本说明,英雄经验,英雄经验,英雄经验,难度1掉落,难度2掉落,难度3掉落,假概率难度1,假概率难度2,假概率难度3
10101,狗头人营地,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,北郡山谷中狗头人的活动日益增加。他们在修道院附近建立营地，而且数量众多。,50,,,101011,,,,,
10102,北郡山谷,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,关于狼群袭击北郡的报告最近有所增加。虽然狼群很少袭击人类，但是他们数量的激增给农夫增加了很多麻烦。,60,,,101021,,,,,
10103,回音山矿洞,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,调查证实，回音山矿洞需要一次清剿行动。回到矿洞那边，清除那里所有的狗头人吧。,70,,,101031,,,,,
10104,米莉的葡萄园,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,一伙迪菲亚盗贼趁葡萄收割的时候闯进了北郡农场！消灭他们！,80,,,101041,,,,,
10105,加瑞克的赏金,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",94,118,加瑞克·帕德弗特，这个恶棍几周以来一直让农民和商人心惊胆战。带他的徽记回来见我，然后领取赏金吧！,90,,,101051,,,,,
10201,石碑湖,1,6,10,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,100031",,118,暴风城军队悬赏清除那些闪金森林内的鱼人潜伏者和鱼人强盗。杀了它们，把它们破损的鱼人鳞片带回来。,90,,,102011,,,,,
10202,东谷伐木场,1,6,99,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,",,118,这里的狼和熊把伐木工人追得满地跑，否则的话他们早就把木材的问题解决了。,100,,,102021,,,,,
10203,南瓜田,1,6,10,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,100051,11011",114,118,布拉克威尔一家有一头得过奖的猪，它名叫“公主”。这头母猪巨大无比，还经常偷偷溜到农场里偷吃蔬菜！,110,,,102031,,,,,
10204,水晶湖,1,6,99,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,",,118,鱼人正陆续从闪金森林东部的河流里游过来，把鱼都给吓跑了，而且它们还攻击平民！,110,,,102041,,,,,
10205,法戈第矿洞,1,6,99,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,",,118,我和我兄弟在暴风城开了个药店，而我现在正要在这一带找些大蜡烛，以便提取其中的蜡。你能帮助我吗？,120,,,102051,,,,,
10206,林间空地,2,6,10,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,100041,11012",46,118,巨型豺狼人霍格，现正在闪金森林西南部的树林里游荡。他成功地对抗了目前为止所有追捕他的行动。,130,140,,102061,102062,,,,
10301,法布隆农场,2,6,99,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,",,118,食腐鸟在这个地方徘徊，不过它们的肉是用来做杂味炖肉的食材。,130,140,,103011,103012,,,,
10302,詹戈洛德矿洞,2,6,99,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,",,118,狗头人会说：“不许抢走我的蜡烛！”我就说：“我来抢蜡烛！”然后把它们打得分不清东南西北！,140,150,,103021,103022,,,,
10303,岸边的威胁,2,6,99,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,",78,118,西部旷野的海岸必须清理，不然航行到我们这里的水手们就不安全。鱼人们也是个麻烦。,140,150,,103031,103032,,,,
10304,萨丁农场,2,6,10,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,42001,11013",,118,削两个洋葱，剥一个大蒜，剁半两香菜，切几块萝卜。现在……我还需要猪肝来完成我的绝世美味馅饼！,150,160,,103041,103042,,,,
10305,荒野豺狼人,2,6,99,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,",,118,找到那些可恶的豺狼人，把它们干掉，似乎这些家伙与死矿里的小贼们有些联系。,150,160,,103051,103052,,,,
10306,清理荒野,2,6,99,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,",,118,这个农场已经被迪菲亚兄弟会占领了，把他们的面罩扒下来。,160,170,,103061,103062,,,,
10307,月溪镇,3,6,10,XiBuHuangYe,XiBuHuangYe,XiBuHuangYe,"107,108,42002,11014",23,118,我们必须得找到迪菲亚兄弟会藏身的地方，朋友。我希望你能抓住一个信使。,160,170,180,103071,103072,103073,,,
10401,荒野之心,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,药剂师能用变色的狼心制作治疗药水，收集一些狼心回来。,160,170,180,104011,104012,104013,,,
10402,亡者农场,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,腐皮豺狼人在北边的一处名叫亡者农场的地方建立了一个基地。每次他们都能得到女妖奈塔拉什的增援。,170,180,190,104021,104022,104023,,,
10403,豺狼人的脓液,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,我们必须得弄清楚谁是腐皮豺狼人背后的真正主人，药剂师们相信它们的体内发生了某种神秘的变化。,170,180,190,104031,104032,104033,,,
10404,破旧渡口,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,天灾军团占据了那里，这其中一定有些什么阴谋。到破旧渡口去调查一下，看看为什么天灾军团会在那里。 ,170,180,190,104041,104042,104043,,,
10405,突袭芬里斯岛,3,6,10,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,42001,11021",131,118,你必须去那个岛，杀死图勒·鸦爪，把他的徽记提来见我！,180,190,200,104051,104052,104053,,,
10406,披着熊皮的狼,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,不幸的是，银松这里白痴还特别多。在有组织的狼人熊攻击下，我们已经损失了好几个营。,180,190,200,104061,104062,104063,,,
10407,调查安伯米尔,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,那些咒术师、法师和保卫者恐怕会拼死保护坠饰。你必须清除掉这些阻碍，并把饰物抢到手。,180,190,200,104071,104072,104073,,,
10408,埃利姆矿洞,3,6,99,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,",,118,我需要你来帮忙处理一下我们的亡灵哨兵发现的一个小问题。似乎影牙堡主的魔法已经控制了东南方山中的埃利姆矿洞。,180,190,200,104081,104082,104083,,,
10409,粘丝洞,3,6,10,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,42002,11022",,118,从粘丝洞中的蜘蛛身上和银松中游荡着的熊身上采集一些样本回来。,190,200,210,104091,104092,104093,,,
10410,焚木村的毁灭,3,6,10,YinSongSenLin,YinSongSenLin,YinSongSenLin,"107,108,42001,2227",20,118,用这些火把，我们要把焚木村烧成平地，只留下灰烬，让敌人无处藏身。,190,200,210,104101,104102,104103,,,
10501,主宰之剑,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,暮光之锤信徒崇拜非常古老的大地之神，一个很久以前就被打败的神。主宰之剑就是那个古神被打败的地方。,190,200,210,105011,105012,105013,,,
10502,挖掘场,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,我们刚刚发现了一座大型的古代城镇，但是突然间，可怕的傀儡从地下蜂拥而出，占据了那里。,200,210,230,105021,105022,105023,,,
10503,黑木熊怪营地,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,我们的祖先同黑木熊怪世世代代共同生活在一起。可最近我们同森林深处聚居点的他们失去了联系。,200,210,230,105031,105032,105033,,,
10504,古树之林,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,看看你的四周，朋友。我的同胞们沉睡着……但只要时机一到，他们自会响应守护者的号角。,200,210,230,105041,105042,105043,,,
10505,亚米萨兰,3,6,10,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,42002,11023",91,118,我发现自己正置身于亚米萨兰的废墟之中……我居然看见了我的至爱——她那饱受折磨的亡魂。,210,230,240,105051,105052,105053,,,
10506,长桥码头,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,瞧见海岸边的那些个船骸了吗……大多数都是老的，有些新的。我琢磨它们好久了。,210,230,240,105061,105062,105063,,,
10507,巴萨兰,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,有一伙恶魔的爪牙在东部的巴莎兰废墟里到处横行。盘踞在那里的萨特疯狂地汲取着魔法的能量。,210,230,240,105071,105072,105073,,,
10508,洞中的蘑菇,3,6,99,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,",,118,我正在研制一种药剂，需要一种生长在特定洞穴里的稀有蘑菇才能配制。,210,230,240,105081,105082,105083,,,
10509,玛塞斯特拉,3,6,10,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,42001,11024",,118,到玛塞斯特拉废墟去看看，找到那些古代的遗物。也许能搞清楚暮光之锤打算如何使用那些精灵的魔法。,220,240,250,105091,105092,105093,,,
10510,奥萨拉克斯塔,3,6,10,HeiHaiAn,HeiHaiAn,HeiHaiAn,"107,108,42002,2128",133,118,不过你要当心，在他的周围有很多强大的术士，比你以前所见到过的任何术士都还要可怕。 ,220,240,250,105101,105102,105103,,,
10601,淤泥沼泽,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,嗨，我们这里遇到了一个真正的麻烦。淤泥沼泽盘踞了大量土狼。它们正在对我们造成越来越多的损害。,220,240,250,106011,106012,106013,,,
10602,玉石矿洞,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,我知道有一些买主肯掏钱买那么大的一块宝石，如果你帮我搞到那块宝石的话，那么我愿意和你五五分成，你看怎么样？ ,230,250,260,106021,106022,106023,,,
10603,平衡器,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,一切准备就绪，现在你需要做的就是取得可以打开控制台的钥匙。 ,230,250,260,106031,106032,106033,,,
10604,被偷走的银币,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,很明显这些迅猛龙是独自将部落的银币偷走的。该教训教训这些畜生了。,230,250,260,106041,106042,106043,,,
10605,无水岭,3,6,10,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,42001,11031",209,118,从她们对部落的恶毒憎恨来看，塞瑞娜·血羽一定对部落抱着某种深仇大恨。,240,260,280,106051,106052,106053,,,
10606,遗忘之池,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,你能感受到大地的震颤吗？某种力量将这块大地劈成了两半。但是我们德鲁伊却能感受到另一种震颤。,240,260,280,106061,106062,106063,,,
10607,复仇的怒火,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,杀掉那些野猪人，能杀多少就杀多少。带回它们的獠牙，让我们一起为它们的死亡而庆贺吧。,240,260,280,106071,106072,106073,,,
10608,勇士岛,3,6,99,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,",,118,当下那些海盗已经占领了南部的勇士岛，他们不仅是想打我货物的主意，他们就想找麻烦！,240,260,280,106081,106082,106083,,,
10609,大树下,3,6,10,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,42002,11032",,118,贫瘠之地的草原狮是极其狡诈的猛兽。它们非常坚强，机智，敏捷……而且致命。,250,270,290,106091,106092,106093,,,
10610,人马无双,3,6,10,PinJiZhiDi,PinJiZhiDi,PinJiZhiDi,"107,108,42003,2112",199,118,杀死那些该死的半人马，直到他们的首领——督军克罗姆扎出现在你面前，干掉他，把他的旗帜撕下一片作为证据。,250,270,290,106101,106102,106103,,,
10701,撕裂者山谷,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,看起来，黑石兽人终于放聪明了。我收到报告说他们和豺狼人组成了联军，打算发动进攻。,250,270,290,107011,107012,107013,,,
10702,止水湖,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,要去止水湖吗？你也许很高兴知道，我们现在对鱼人进行悬赏。尽你所能杀掉它们，就可以拿到赏金！,260,280,300,107021,107022,107023,,,
10703,湖边大道,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,我需要一些血牙野猪的肾脏、秃鹰的内脏，还有狼蛛眼球。你可以在这座塔附近找到血牙野猪、秃鹰和狼蛛。,260,280,300,107031,107032,107033,,,
10704,三角路口,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,我需要一些黑龙雏龙腹部的鳞片来支付买马掌的钱。,260,280,300,107041,107042,107043,,,
10705,湖畔镇,3,6,10,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,42001,11034",114,118,前几天我的花园又被搞得一塌糊涂，不过现在我已经知道是哪个混蛋干的了。就是那只被称作贝利格拉布的野猪。,270,290,310,107051,107052,107053,,,
10706,赤脊峡谷,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,杀掉你看到的所有豺狼人，把他们的项圈作为证据拿到手。,270,290,310,107061,107062,107063,,,
10707,撕裂者营地,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,帮湖畔镇解决掉这个威胁吧。杀死黑石氏族的兽人，并带回来十把他们所用的破斧作为证明。,270,290,310,107071,107072,107073,,,
10708,奥瑟尔伐木场,3,6,99,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,",,118,在奥瑟尔伐木场里攻击你看见的所有黑石兽人。击败他们，直到他们知道你的厉害。,270,290,310,107081,107082,107083,,,
10709,伊尔加拉之塔,3,6,10,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,42002,11035",,118,进到塔里去，登上塔顶，消灭塔内的所有法师。,280,300,330,107091,107092,107093,,,
10710,石堡,3,6,10,ChiJiShan,ChiJiShan,ChiJiShan,"107,108,42003,2117",174,118,现在就剩黑石的指挥官们了，朋友。他们现在都躲进了石堡要塞，从这里一直向南就能看见那地方。,280,300,330,107101,107102,107103,,,
10801,萨提纳尔,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,我一直在寻找发财的机会，眼下似乎就有一个——这些日子以来棘齿城的萨特角行情看涨。,280,300,330,108011,108012,108013,,,
10802,战歌伐木场,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,我的主意很简单。带上这把斧子，把该地区他们一直在照料的树木砍倒。,290,320,340,108021,108022,108023,,,
10803,屠魔峡谷,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,长久以来，燃烧军团的余孽是我们的眼中钉、肉中刺！不能再这样下去了！,290,320,340,108031,108032,108033,,,
10804,密斯特拉湖,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,到东边去把密斯特拉湖夺回来，这样有朝一日我们才能收复避难所。,290,320,340,108041,108042,108043,,,
10805,坠星湖,3,6,10,HuiGu,HuiGu,HuiGu,"107,108,42001,11041",,118,过去我们常在东南部的坠星湖搜集月亮石……但是沼泽兽来了之后就不行了。,300,330,350,108051,108052,108053,,,
10806,隐藏的神殿,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,那里人迹罕至，所以要多加小心。神殿就隐藏在围绕着那片林地的山峦中。,300,330,350,108061,108062,108063,,,
10807,月亮井,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,你必须将泪水带到火山脚下东南方的纯净月亮井那儿去，在女神之力的保护下，它依然完好无损。,300,330,350,108071,108072,108073,,,
10808,阿斯特兰纳,3,6,99,HuiGu,HuiGu,HuiGu,"107,108,",,118,有了你的帮助，我们至少能稍微控制一下那里混乱的局势。,300,330,350,108081,108082,108083,,,
10809,佐拉姆海岸,3,6,10,HuiGu,HuiGu,HuiGu,"107,108,42002,11042",,118,邪恶的力量正潜伏在海岸边，朋友。海面下长眠着一座在很久以前就被摧毁的城市，佐拉姆城。,310,340,360,108091,108092,108093,,,
10810,鞭笞者沃尔沙,3,6,10,HuiGu,HuiGu,HuiGu,"107,108,42003,2104",193,118,鞭笞者沃尔沙……在海中出没的残忍的多头蛇怪……她频繁地、无缘无故地袭击我们的岗哨，到处制造混乱。,310,340,360,108101,108102,108103,,,
10901,米奈希尔港,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,在上一次大战中，那支舰队曾与红龙们在此激战，不幸全军覆没了。,310,340,360,109011,109012,109013,,,
10902,黑水沼泽,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,鉴于目前我真的很缺货，如果你能帮我弄些小鳄鱼皮回来，我会给你开出一个非常不错的价码。,320,350,380,109021,109022,109023,,,
10903,维尔加挖掘场,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,我翻译好的文字被分成了四部分，散落在挖掘场中的四个不同的地方。,320,350,380,109031,109032,109033,,,
10904,藓皮沼泽,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,我不知道你以前对付过多少豺狼人，但他们是肮脏野蛮的畜牲，并且很危险。我要你去把他们杀掉。,320,350,380,109041,109042,109043,,,
10905,怒牙营地,3,6,10,ShiDi,ShiDi,ShiDi,"107,108,42002,11043",,118,现在所有的投石车都被烧掉了，找到纳克罗什酋长，把他干掉。,330,360,390,109051,109052,109053,,,
10906,日落沼泽,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,要是你能帮我杀几条这种凶猛残忍的大鳄鱼，从它们身上给我剥几张皮下来，我会非常高兴的。,330,360,390,109061,109062,109063,,,
10907,恐龙岭,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,我们接到越来越多的报告，迅猛龙正在滋扰附近的地区。我立志要将这里变成安居乐业之所，因此我给那些畜牲挂了悬赏。,330,360,390,109071,109072,109073,,,
10908,恶铁岭,3,6,99,ShiDi,ShiDi,ShiDi,"107,108,",,118,战火席卷了整个世界。我们自己的土地却沦为了这群邪恶的黑铁矮人觊觎的目标。,330,360,390,109081,109082,109083,,,
10909,丹莫德,3,6,10,ShiDi,ShiDi,ShiDi,"107,108,42003,11044",,118,丹莫德已经被黑铁矮人攻陷了！我们在萨多尔桥遭遇了伏击，那群该死的黑铁矮人突袭了我们。,340,370,400,109091,109092,109093,,,
10910,盐沫沼泽,3,6,10,ShiDi,ShiDi,ShiDi,"107,108,42004,2009",78,118,鱼人们正从深水里朝海岸线上迁徙，还不住地骚扰我们的渔夫和商贩，必须阻止它们。,340,370,400,109101,109102,109103,,,
11001,丧钟镇,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,虽然巫妖王不再坐镇冰封王座，但这个村庄的北部仍有大量的无脑僵尸到处横行。,340,370,400,110011,110012,110013,,,
11002,血色营地,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,血色十字军是一个卑鄙的组织，他们视我们为死敌。,350,380,410,110021,110022,110023,,,
11003,索利丹农场,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,这里的西边有个农场，那块地上的人呀，就跟腐烂尸体上的苍蝇一样多。,350,380,410,110031,110032,110033,,,
11004,阿加曼德磨坊,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,一切准备就绪，现在你需要做的就是取得可以打开控制台的钥匙。 ,350,380,410,110041,110042,110043,,,
11005,北部海岸,3,6,10,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,42001,11061",,118,我需要附近鱼人身上的几枚鳞片。这些无脑的生物就漫步在北边的海岸上。,360,390,430,110051,110052,110053,,,
11006,澈水湖,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,北边澈水湖中的一个小岛上住着一个巫妖。虽然他是个独立的亡灵，不过他认为其他所有的亡灵都是天灾军团的奴隶。,360,390,430,110061,110062,110063,,,
11007,布瑞尔,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,可怕的瘟疫正如冰冷的毒蛇一般在我的血管中逡巡，也许很快我就会彻底失去意志。,360,390,430,110071,110072,110073,,,
11008,洛丹伦废墟,3,6,99,WenYiZhiDi,WenYiZhiDi,WenYiZhiDi,"107,108,",,118,如果你能给我带回五张夜行蝙蝠的毛皮和一些粗线的话，我就可以给自己缝条毯子了。 ,360,390,430,110081,110082,110083,,,
